program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,P,M,KC,MC,ROW_BLOCK,COL_BLOCK,ALIGNMENT,exe_time,blas_exe_time,f_norm
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,64,0.098989,0.075658,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,6,16,64,0.102394,0.076521,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.011817,0.025687,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.006686,0.021588,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,6,16,64,0.006725,0.021555,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.170962,0.119269,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.171089,0.120386,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,6,16,64,0.170938,0.117560,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.129607,0.730724,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.137699,0.730921,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,6,16,64,1.137195,0.723816,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.667190,1.071988,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.669597,1.082697,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,6,16,64,1.661947,1.079631,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004130,0.141908,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004078,0.019966,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,120,6,16,64,0.004108,0.019263,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.092402,0.075796,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.093922,0.075921,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,120,6,16,64,0.094208,0.076281,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006504,0.021366,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006333,0.021601,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,120,6,16,64,0.006485,0.021943,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.165706,0.119708,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.168184,0.117973,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,120,6,16,64,0.165158,0.122645,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.134086,0.732690,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.120076,0.729269,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,120,6,16,64,1.137627,0.730421,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.682104,1.074147,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.683500,1.067531,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,120,6,16,64,1.682375,1.086253,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004693,0.134486,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004685,0.020827,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,120,120,6,16,64,0.004812,0.020624,2.599383736895e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119907,0.076182,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119091,0.075959,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,120,120,6,16,64,0.119001,0.077738,1.892903994096e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.007838,0.021230,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.008002,0.021114,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,120,120,6,16,64,0.007997,0.021618,2.353227713974e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.214910,0.117699,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.214112,0.117766,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,120,120,6,16,64,0.213782,0.119728,1.968929617948e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.368563,0.729426,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.367288,0.729996,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,120,120,6,16,64,1.368218,0.727839,2.100001841130e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.118819,1.079678,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.127129,1.079565,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,120,120,6,16,64,2.120875,1.068084,2.380006391011e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,480,6,16,64,0.007293,0.154329,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,480,6,16,64,0.007278,0.021720,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,480,6,16,64,0.007222,0.021389,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,480,6,16,64,0.192740,0.117157,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,480,6,16,64,0.190303,0.117560,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,480,6,16,64,0.190245,0.119613,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,480,6,16,64,1.956017,1.074545,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,480,6,16,64,1.955770,1.076636,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,480,6,16,64,1.958818,1.073649,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,8,16,64,0.004331,0.162644,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,8,16,64,0.004021,0.019967,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,8,16,64,0.004064,0.019392,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,8,16,64,0.096435,0.076546,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,8,16,64,0.098880,0.076563,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,8,16,64,0.095805,0.076264,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,8,16,64,0.006379,0.021208,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,8,16,64,0.006330,0.022378,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,8,16,64,0.006432,0.021628,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,8,16,64,0.162877,0.117711,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,8,16,64,0.167784,0.117668,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,8,16,64,0.167283,0.117787,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,8,16,64,1.103581,0.733205,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,8,16,64,1.088159,0.727737,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,8,16,64,1.100208,0.735680,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,8,16,64,1.647355,1.074928,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,8,16,64,1.641589,1.070867,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,8,16,64,1.644996,1.073008,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.004042,0.156903,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.004066,0.019198,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.003940,0.019496,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.093488,0.075417,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.094364,0.075836,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.094182,0.075814,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,16,64,0.006321,0.021794,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,16,64,0.005956,0.021357,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,16,64,0.006204,0.021425,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,16,64,0.160824,0.120623,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,16,64,0.160637,0.118904,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,16,64,0.158611,0.118419,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.045603,0.728466,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.044071,0.729808,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,16,64,1.048431,0.732357,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.574351,1.073157,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.555610,1.075048,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,16,64,1.556176,1.090061,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,8,64,0.004794,0.153550,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,8,64,0.005149,0.019760,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,8,64,0.004747,0.019224,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,8,64,0.114310,0.076057,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,8,64,0.115092,0.075843,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,8,64,0.114485,0.075213,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,8,64,0.008270,0.021699,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,8,64,0.008157,0.022090,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,1440,1440,1440,240,240,10,8,64,0.008391,0.023026,2.356178344662e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,8,64,0.194640,0.117653,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,8,64,0.193698,0.118345,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,4320,4320,4320,240,240,10,8,64,0.193954,0.119035,1.831338631281e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,8,64,1.339155,0.731110,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,8,64,1.341649,0.731218,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,8400,8400,8400,240,240,10,8,64,1.338153,0.731141,1.802004643885e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,8,64,2.062083,1.077520,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,8,64,2.060287,1.075320,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,9600,9600,9600,240,240,10,8,64,2.067673,1.084263,1.987006986294e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.003951,0.150778,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.003989,0.019504,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,1200,1200,1200,240,240,10,16,64,0.004189,0.019770,2.659299758319e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.093776,0.075888,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.092489,0.076636,1.795840225541e-16
"avx-omp-divisible",24,24,-1,-1,3600,3600,3600,240,240,10,16,64,0.092988,0.075996,1.795840225541e-16
