num_cores,num_threads,schedule,seed,program,wc_time,area
24,24,"dynamic,250",12345,omp-ts,12.540585,1.506682
24,24,"dynamic,250",12345,omp-avx-ts,4.480416,1.506758
24,24,"dynamic,250",12345,omp-ts,12.543279,1.506682
24,24,"dynamic,250",12345,omp-avx-ts,4.475409,1.506758
24,2,"guided",12345,omp-ts,24.596926,1.506790
24,2,"guided",12345,omp-avx-ts,8.854252,1.506644
24,2,"guided",12345,omp-ts,24.599100,1.506790
24,2,"guided",12345,omp-avx-ts,8.853590,1.506644
24,2,"guided",12345,omp-ts,24.598511,1.506790
24,2,"guided",12345,omp-avx-ts,8.864182,1.506644
24,4,"guided",12345,omp-ts,12.478925,1.506756
24,4,"guided",12345,omp-avx-ts,4.502365,1.506788
24,4,"guided",12345,omp-ts,12.467428,1.506756
24,4,"guided",12345,omp-avx-ts,4.499794,1.506780
24,4,"guided",12345,omp-ts,12.468605,1.506764
24,4,"guided",12345,omp-avx-ts,4.498488,1.506792
24,12,"guided",12345,omp-ts,4.132875,1.506834
24,12,"guided",12345,omp-avx-ts,1.483933,1.506698
24,12,"guided",12345,omp-ts,4.131875,1.506728
24,12,"guided",12345,omp-avx-ts,1.486218,1.506606
24,12,"guided",12345,omp-ts,4.133179,1.506742
24,12,"guided",12345,omp-avx-ts,1.483039,1.506778
24,24,"guided",12345,omp-ts,2.053932,1.506688
24,24,"guided",12345,omp-avx-ts,0.747375,1.506684
24,24,"guided",12345,omp-ts,2.055188,1.506734
24,24,"guided",12345,omp-avx-ts,0.745156,1.506752
24,24,"guided",12345,omp-ts,2.056153,1.506710
24,24,"guided",12345,omp-avx-ts,0.744459,1.506704
24,2,"static,1",12345,omp-collapse,24.748302,1.506694
24,2,"static,1",12345,omp-collapse-avx,8.980272,1.506750
24,2,"static,1",12345,omp-collapse,24.742006,1.506694
24,2,"static,1",12345,omp-collapse-avx,8.987347,1.506750
24,2,"static,1",12345,omp-collapse,24.740120,1.506694
24,2,"static,1",12345,omp-collapse-avx,8.979392,1.506750
24,4,"static,1",12345,omp-collapse,12.384417,1.506850
24,4,"static,1",12345,omp-collapse-avx,4.555785,1.506808
24,4,"static,1",12345,omp-collapse,12.379234,1.506850
24,4,"static,1",12345,omp-collapse-avx,4.552705,1.506808
24,4,"static,1",12345,omp-collapse,12.381023,1.506850
24,4,"static,1",12345,omp-collapse-avx,4.555265,1.506808
24,12,"static,1",12345,omp-collapse,4.132849,1.506624
24,12,"static,1",12345,omp-collapse-avx,1.599570,1.506694
24,12,"static,1",12345,omp-collapse,4.129390,1.506624
24,12,"static,1",12345,omp-collapse-avx,1.599522,1.506694
24,12,"static,1",12345,omp-collapse,4.130450,1.506624
24,12,"static,1",12345,omp-collapse-avx,1.600364,1.506694
24,24,"static,1",12345,omp-collapse,2.066361,1.506822
24,24,"static,1",12345,omp-collapse-avx,0.801962,1.506684
24,24,"static,1",12345,omp-collapse,2.066857,1.506822
24,24,"static,1",12345,omp-collapse-avx,0.802115,1.506684
24,24,"static,1",12345,omp-collapse,2.072215,1.506822
24,24,"static,1",12345,omp-collapse-avx,0.805360,1.506684
24,2,"static,100",12345,omp-collapse,24.667643,1.506718
24,2,"static,100",12345,omp-collapse-avx,8.918544,1.506888
24,2,"static,100",12345,omp-collapse,24.666800,1.506718
24,2,"static,100",12345,omp-collapse-avx,8.927892,1.506888
24,2,"static,100",12345,omp-collapse,24.667519,1.506718
24,2,"static,100",12345,omp-collapse-avx,8.930360,1.506888
24,4,"static,100",12345,omp-collapse,12.334704,1.506728
24,4,"static,100",12345,omp-collapse-avx,4.458281,1.506850
24,4,"static,100",12345,omp-collapse,12.336103,1.506728
24,4,"static,100",12345,omp-collapse-avx,4.459792,1.506850
24,4,"static,100",12345,omp-collapse,12.331971,1.506728
24,4,"static,100",12345,omp-collapse-avx,4.462113,1.506850
24,12,"static,100",12345,omp-collapse,4.121294,1.506808
24,12,"static,100",12345,omp-collapse-avx,1.493906,1.506714
24,12,"static,100",12345,omp-collapse,4.119079,1.506808
24,12,"static,100",12345,omp-collapse-avx,1.495396,1.506714
24,12,"static,100",12345,omp-collapse,4.117978,1.506808
24,12,"static,100",12345,omp-collapse-avx,1.494326,1.506714
24,24,"static,100",12345,omp-collapse,2.062052,1.506754
24,24,"static,100",12345,omp-collapse-avx,0.750046,1.506734
24,24,"static,100",12345,omp-collapse,2.061610,1.506754
24,24,"static,100",12345,omp-collapse-avx,0.750846,1.506734
24,24,"static,100",12345,omp-collapse,2.066609,1.506754
24,24,"static,100",12345,omp-collapse-avx,0.749550,1.506734
24,2,"dynamic",12345,omp-collapse,24.785976,1.506782
24,2,"dynamic",12345,omp-collapse-avx,8.923119,1.506720
24,2,"dynamic",12345,omp-collapse,24.806353,1.506868
24,2,"dynamic",12345,omp-collapse-avx,8.929159,1.506614
24,2,"dynamic",12345,omp-collapse,24.788355,1.506748
24,2,"dynamic",12345,omp-collapse-avx,8.922567,1.506840
24,4,"dynamic",12345,omp-collapse,12.416664,1.506864
24,4,"dynamic",12345,omp-collapse-avx,4.463012,1.506812
24,4,"dynamic",12345,omp-collapse,12.407738,1.506722
24,4,"dynamic",12345,omp-collapse-avx,4.462931,1.506738
24,4,"dynamic",12345,omp-collapse,12.411840,1.506750
24,4,"dynamic",12345,omp-collapse-avx,4.463356,1.506726
24,12,"dynamic",12345,omp-collapse,4.179869,1.506680
24,12,"dynamic",12345,omp-collapse-avx,1.489423,1.506606
24,12,"dynamic",12345,omp-collapse,4.178649,1.506730
24,12,"dynamic",12345,omp-collapse-avx,1.489812,1.506600
24,12,"dynamic",12345,omp-collapse,4.182415,1.506736
24,12,"dynamic",12345,omp-collapse-avx,1.489592,1.506760
24,24,"dynamic",12345,omp-collapse,2.124094,1.506598
24,24,"dynamic",12345,omp-collapse-avx,0.747425,1.506642
24,24,"dynamic",12345,omp-collapse,2.124013,1.506812
24,24,"dynamic",12345,omp-collapse-avx,0.750670,1.506798
24,24,"dynamic",12345,omp-collapse,2.123387,1.506622
24,24,"dynamic",12345,omp-collapse-avx,0.748162,1.506832
24,2,"dynamic,250",12345,omp-collapse,24.660540,1.506654
24,2,"dynamic,250",12345,omp-collapse-avx,8.916242,1.506790
24,2,"dynamic,250",12345,omp-collapse,24.681557,1.506754
24,2,"dynamic,250",12345,omp-collapse-avx,8.918811,1.506874
24,2,"dynamic,250",12345,omp-collapse,24.676111,1.506730
24,2,"dynamic,250",12345,omp-collapse-avx,8.915954,1.506856
24,4,"dynamic,250",12345,omp-collapse,12.336494,1.506730
24,4,"dynamic,250",12345,omp-collapse-avx,4.459375,1.506750
24,4,"dynamic,250",12345,omp-collapse,12.336160,1.506856
24,4,"dynamic,250",12345,omp-collapse-avx,4.458593,1.506742
24,4,"dynamic,250",12345,omp-collapse,12.337709,1.506780
24,4,"dynamic,250",12345,omp-collapse-avx,4.459820,1.506648
24,12,"dynamic,250",12345,omp-collapse,4.112672,1.506786
24,12,"dynamic,250",12345,omp-collapse-avx,1.488152,1.506834
24,12,"dynamic,250",12345,omp-collapse,4.111725,1.506696
24,12,"dynamic,250",12345,omp-collapse-avx,1.488214,1.506778
24,12,"dynamic,250",12345,omp-collapse,4.111236,1.506624
24,12,"dynamic,250",12345,omp-collapse-avx,1.487034,1.506632
24,24,"dynamic,250",12345,omp-collapse,2.057748,1.506720
24,24,"dynamic,250",12345,omp-collapse-avx,0.749418,1.506688
24,24,"dynamic,250",12345,omp-collapse,2.057302,1.506642
24,24,"dynamic,250",12345,omp-collapse-avx,0.746448,1.506550
24,24,"dynamic,250",12345,omp-collapse,2.060635,1.506650
24,24,"dynamic,250",12345,omp-collapse-avx,0.747248,1.506720
24,2,"guided",12345,omp-collapse,24.749813,1.506708
24,2,"guided",12345,omp-collapse-avx,8.948166,1.506838
24,2,"guided",12345,omp-collapse,24.744606,1.506708
24,2,"guided",12345,omp-collapse-avx,8.945817,1.506812
24,2,"guided",12345,omp-collapse,24.747028,1.506708
24,2,"guided",12345,omp-collapse-avx,8.951006,1.506838
24,4,"guided",12345,omp-collapse,12.604773,1.506728
24,4,"guided",12345,omp-collapse-avx,4.545863,1.506708
24,4,"guided",12345,omp-collapse,12.602808,1.506728
24,4,"guided",12345,omp-collapse-avx,4.543348,1.506688
24,4,"guided",12345,omp-collapse,12.600394,1.506728
24,4,"guided",12345,omp-collapse-avx,4.544052,1.506708
24,12,"guided",12345,omp-collapse,4.169102,1.506818
24,12,"guided",12345,omp-collapse-avx,1.504730,1.506802
24,12,"guided",12345,omp-collapse,4.170904,1.506702
24,12,"guided",12345,omp-collapse-avx,1.503800,1.506748
24,12,"guided",12345,omp-collapse,4.166753,1.506820
24,12,"guided",12345,omp-collapse-avx,1.504596,1.506880
24,24,"guided",12345,omp-collapse,2.067203,1.506874
24,24,"guided",12345,omp-collapse-avx,0.750333,1.506712
24,24,"guided",12345,omp-collapse,2.066999,1.506890
24,24,"guided",12345,omp-collapse-avx,0.750670,1.506788
24,24,"guided",12345,omp-collapse,2.067994,1.506888
24,24,"guided",12345,omp-collapse-avx,0.752235,1.506680
