num_cores,num_threads,schedule,seed,program,wc_time,area
24,24,"static,1",12345,omp-avx-ts,1.948867,1.506664
24,24,"static,1",12345,omp-ts,5.434736,1.506800
24,24,"static,1",12345,omp-avx-ts,1.948777,1.506664
24,2,"static,100",12345,omp-ts,42.032043,1.506622
24,2,"static,100",12345,omp-avx-ts,15.103032,1.506716
24,2,"static,100",12345,omp-ts,42.035107,1.506622
24,2,"static,100",12345,omp-avx-ts,15.102358,1.506716
24,2,"static,100",12345,omp-ts,42.016930,1.506622
24,2,"static,100",12345,omp-avx-ts,15.110355,1.506716
24,4,"static,100",12345,omp-ts,22.454800,1.506532
24,4,"static,100",12345,omp-avx-ts,8.048315,1.506778
24,4,"static,100",12345,omp-ts,22.454231,1.506532
24,4,"static,100",12345,omp-avx-ts,8.045729,1.506778
24,4,"static,100",12345,omp-ts,22.453403,1.506532
24,4,"static,100",12345,omp-avx-ts,8.047571,1.506778
24,12,"static,100",12345,omp-ts,9.714694,1.506682
24,12,"static,100",12345,omp-avx-ts,3.477586,1.506652
24,12,"static,100",12345,omp-ts,9.717619,1.506682
24,12,"static,100",12345,omp-avx-ts,3.469960,1.506652
24,12,"static,100",12345,omp-ts,9.723001,1.506682
24,12,"static,100",12345,omp-avx-ts,3.469301,1.506652
24,24,"static,100",12345,omp-ts,5.432463,1.506800
24,24,"static,100",12345,omp-avx-ts,1.949240,1.506664
24,24,"static,100",12345,omp-ts,5.432987,1.506800
24,24,"static,100",12345,omp-avx-ts,1.949470,1.506664
24,24,"static,100",12345,omp-ts,5.432299,1.506800
24,24,"static,100",12345,omp-avx-ts,1.950064,1.506664
24,2,"dynamic",12345,omp-ts,42.035397,1.506622
24,2,"dynamic",12345,omp-avx-ts,15.104641,1.506716
24,2,"dynamic",12345,omp-ts,42.030678,1.506622
24,2,"dynamic",12345,omp-avx-ts,15.103608,1.506716
24,2,"dynamic",12345,omp-ts,42.034801,1.506622
24,2,"dynamic",12345,omp-avx-ts,15.104347,1.506716
24,4,"dynamic",12345,omp-ts,22.467571,1.506532
24,4,"dynamic",12345,omp-avx-ts,8.047977,1.506778
24,4,"dynamic",12345,omp-ts,22.474432,1.506532
24,4,"dynamic",12345,omp-avx-ts,8.049030,1.506778
24,4,"dynamic",12345,omp-ts,22.458542,1.506532
24,4,"dynamic",12345,omp-avx-ts,8.047915,1.506778
24,12,"dynamic",12345,omp-ts,9.716079,1.506682
